2026-05-08T00:10:12+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:53008 - "PROPFIND / HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:27:15+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:55652 - "GET / HTTP/1.0" 200 OK
2026-05-08T00:28:14+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:37650 - "GET /.env HTTP/1.0" 404 Not Found
2026-05-08T00:28:14+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:37654 - "POST / HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:29:36+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45386 - "GET /developmentserver/metadatauploader HTTP/1.0" 200 OK
2026-05-08T00:36:17+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:41964 - "HEAD /.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:17+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:41970 - "GET /.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:17+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:41986 - "HEAD /api/.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:17+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:41988 - "GET /api/.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:18+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:41998 - "HEAD /backend/.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:18+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42014 - "GET /backend/.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:18+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42030 - "HEAD /phpinfo.php HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:18+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42044 - "GET /phpinfo.php HTTP/1.0" 404 Not Found
2026-05-08T00:36:18+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42046 - "HEAD /phpinfo/ HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:18+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42062 - "GET /phpinfo/ HTTP/1.0" 404 Not Found
2026-05-08T00:36:18+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42064 - "HEAD /admin/.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:18+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42068 - "GET /admin/.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:18+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42078 - "HEAD /laravel/.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:18+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42086 - "GET /laravel/.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:18+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42090 - "HEAD /test HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:18+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42098 - "GET /test HTTP/1.0" 200 OK
2026-05-08T00:36:18+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42100 - "HEAD /.env.example HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:18+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42108 - "GET /.env.example HTTP/1.0" 404 Not Found
2026-05-08T00:36:18+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42116 - "HEAD /core/.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:18+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42120 - "GET /core/.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:19+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42124 - "HEAD /app/.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:19+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42138 - "GET /app/.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:19+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42142 - "HEAD /?phpinfo=-1 HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:19+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42154 - "GET /?phpinfo=-1 HTTP/1.0" 200 OK
2026-05-08T00:36:19+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42168 - "HEAD /dev/.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:19+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42178 - "GET /dev/.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:19+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42188 - "HEAD /info/ HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:19+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42192 - "GET /info/ HTTP/1.0" 200 OK
2026-05-08T00:36:19+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42198 - "HEAD /.env.save HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:19+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42204 - "GET /.env.save HTTP/1.0" 404 Not Found
2026-05-08T00:36:19+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42220 - "HEAD /server/.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:19+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42222 - "GET /server/.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:19+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42234 - "HEAD /debug/default/view?panel=config HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:19+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42244 - "GET /debug/default/view?panel=config HTTP/1.0" 200 OK
2026-05-08T00:36:19+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42252 - "HEAD /info HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:19+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42266 - "GET /info HTTP/1.0" 200 OK
2026-05-08T00:36:20+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42274 - "HEAD /staging/.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:20+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42276 - "GET /staging/.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:20+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42286 - "HEAD /app_dev.php/_profiler/phpinfo HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:20+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42288 - "GET /app_dev.php/_profiler/phpinfo HTTP/1.0" 404 Not Found
2026-05-08T00:36:20+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42298 - "HEAD /.env.production HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:20+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42312 - "GET /.env.production HTTP/1.0" 404 Not Found
2026-05-08T00:36:20+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42316 - "HEAD /demo/.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:20+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42332 - "GET /demo/.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:20+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42336 - "HEAD /portal/.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:20+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42342 - "GET /portal/.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:20+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42350 - "HEAD /api/test HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:20+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42356 - "GET /api/test HTTP/1.0" 200 OK
